atom_type1,atom_type2,epsilon,sigma,cutoff_lj,gamma1,mu1,eta1,gamma2,mu2,eta2,cutoff_hydr,r_D,zeta
P,P,0.76897736,0.686,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.686,0.05
NA,P,0.10501840000000001,0.414,1.2,92.38675877797503,0.41,0.057,19.947052582960456,0.65,0.04,1.2,0.344,0.125
NA,AA+,0.999976,0.4065,1.2,92.38675877797503,0.41,0.057,N/A,N/A,N/A,1.2,0.344,0.125
NA,AA-,0.999976,0.4065,1.2,92.38675877797503,0.41,0.057,19.947052582960456,0.65,0.04,1.2,0.344,0.125
MG,P,0.499988,0.487,1.2,43.08573372966465,0.61,0.05,13.63047897679589,0.83,0.12,1.2,0.375,0.1
MG,AA+,0.999976,0.3556,1.2,43.08573372966465,0.61,0.05,N/A,N/A,N/A,1.2,0.375,0.1
MG,AA-,0.999976,0.3556,1.2,43.08573372966465,0.61,0.05,13.63047897679589,0.83,0.12,1.2,0.375,0.1
CL,P,0.33978264,0.55425,1.2,9.3086523582899,0.67,0.15,N/A,N/A,N/A,1.2,0.42,0.05
CL,AA+,0.999976,0.48725,1.2,9.3086523582899,0.67,0.15,19.947052582960456,0.56,0.04,1.2,0.42,0.05
CL,AA-,0.999976,0.48725,1.2,9.3086523582899,0.67,0.15,N/A,N/A,N/A,1.2,0.42,0.05
NA,NA,0.04690264,0.243,1.2,5.249114549825041,0.58,0.057,N/A,N/A,N/A,1.2,0.27,0.057
NA,MG,0.20798664,0.237,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.237,0.05
NA,CL,0.35091208,0.31352,1.2,160.97665308384785,0.33,0.057,19.947052582960456,0.56,0.04,1.2,0.39,0.206
MG,MG,3.7430064,0.1412,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1412,0.05
MG,CL,2.08099608,0.474,1.2,41.70773913304251,0.548,0.044,2.849519327047879,0.816,0.035,1.2,0.448,0.057
CL,CL,0.1499964,0.4045,1.2,7.978987950634301,0.62,0.05,N/A,N/A,N/A,1.2,0.42,0.056
NA,S,0.999976,0.4315,0.48434237384549444,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,A,0.999976,0.3915,0.43944389191311956,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,T,0.999976,0.4765,0.5348531660194162,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,G,0.999976,0.3665,0.4113823407053852,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,C,0.999976,0.4415,0.4955669943285882,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,AA,0.999976,0.4065,0.4562808226377601,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MG,S,0.999976,0.3806,0.42720905558654737,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MG,A,0.999976,0.3406,0.3823105736541725,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MG,T,0.999976,0.4256,0.4777198477604691,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MG,G,0.999976,0.3156,0.35424902244643813,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MG,C,0.999976,0.3906,0.4384336760696411,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MG,AA,0.999976,0.3556,0.3991475043788131,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CL,S,0.999976,0.51225,0.5749811842464763,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CL,A,0.999976,0.47225,0.5300827023141014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CL,T,0.999976,0.55725,0.6254919764203981,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CL,G,0.999976,0.44725,0.502021151106367,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CL,C,0.999976,0.52225,0.5862058047295701,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CL,AA,0.999976,0.48725,0.546919633038742,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
